id,difficulty,question,gold_sql,gold_result_json,n_rows,order_sensitive
11,brutal,"Which bowler has the best bowling average (runs conceded per wicket) among bowlers with at least 30 wickets? A wicket excludes run outs, retired hurt, retired out, and obstructing the field. Give the bowler and the average.","SELECT bowler, SUM(total_runs) * 1.0 / SUM(CASE WHEN is_wicket = 1 AND dismissal_kind NOT IN ('run out','retired hurt','retired out','obstructing the field') THEN 1 ELSE 0 END) AS bowl_avg FROM deliveries GROUP BY bowler HAVING SUM(CASE WHEN is_wicket = 1 AND dismissal_kind NOT IN ('run out','retired hurt','retired out','obstructing the field') THEN 1 ELSE 0 END) >= 30 ORDER BY bowl_avg ASC LIMIT 1","{""columns"": [""bowler"", ""bowl_avg""], ""rows"": [[""AD Russell"", 17.555555555555557]]}",1,FALSE
12,brutal,"For each season, which team scored the most total runs? Give season, team, and runs, one row per season, ordered by season.","SELECT season, batting_team AS team, runs FROM ( SELECT m.season, d.batting_team, SUM(d.total_runs) AS runs, RANK() OVER (PARTITION BY m.season ORDER BY SUM(d.total_runs) DESC) AS rk FROM deliveries d JOIN matches m ON d.match_id = m.id GROUP BY m.season, d.batting_team) t WHERE rk = 1 ORDER BY season","{""columns"": [""season"", ""team"", ""runs""], ""rows"": [[""2021"", ""Chennai Super Kings"", 2733], [""2022"", ""Rajasthan Royals"", 2943], [""2023"", ""Gujarat Titans"", 3054], [""2024"", ""Sunrisers Hyderabad"", 3052]]}",4,TRUE
13,brutal,Which batter has the highest average runs per match (total runs / matches they batted in) among batters who played at least 30 matches? Give the batter and the average.,"SELECT batter, SUM(batsman_runs) * 1.0 / COUNT(DISTINCT match_id) AS avg_per_match FROM deliveries GROUP BY batter HAVING COUNT(DISTINCT match_id) >= 30 ORDER BY avg_per_match DESC LIMIT 1","{""columns"": [""batter"", ""avg_per_match""], ""rows"": [[""KL Rahul"", 40.72]]}",1,FALSE
14,brutal,"What is the highest successful run chase? Among matches won by the team batting second, find the largest second-innings total. Give the winning team and the runs.","SELECT m.winner AS team, t.runs FROM ( SELECT match_id, SUM(total_runs) AS runs FROM deliveries WHERE inning = 2 GROUP BY match_id) t JOIN matches m ON t.match_id = m.id WHERE m.winner IS NOT NULL AND m.winner = (SELECT DISTINCT batting_team FROM deliveries WHERE match_id = m.id AND inning = 2) ORDER BY t.runs DESC LIMIT 1","{""columns"": [""team"", ""runs""], ""rows"": [[""Punjab Kings"", 262]]}",1,FALSE
15,brutal,"Which bowler took the most wickets in the death overs (overs 15 to 19 inclusive)? Wickets exclude run outs, retired hurt, retired out, obstructing the field. Give the bowler and the count.","SELECT bowler, COUNT(*) AS death_wickets FROM deliveries WHERE over BETWEEN 15 AND 19 AND is_wicket = 1 AND dismissal_kind NOT IN ('run out','retired hurt','retired out','obstructing the field') GROUP BY bowler ORDER BY death_wickets DESC LIMIT 1","{""columns"": [""bowler"", ""death_wickets""], ""rows"": [[""HV Patel"", 58]]}",1,FALSE
16,brutal,Which batter faced the most balls without ever being dismissed (i.e. balls where they were the batter and never appear as player_dismissed anywhere)? Give the batter and the balls faced. Consider only batters who never got out.,"SELECT batter, COUNT(*) AS balls FROM deliveries WHERE batter NOT IN (SELECT DISTINCT player_dismissed FROM deliveries WHERE player_dismissed IS NOT NULL) GROUP BY batter ORDER BY balls DESC LIMIT 1","{""columns"": [""batter"", ""balls""], ""rows"": [[""JR Hazlewood"", 29]]}",1,FALSE
17,brutal,What percentage of all matches were won by the team that won the toss and chose to field? Give a single percentage of all matches.,SELECT 100.0 * SUM(CASE WHEN toss_decision = 'field' AND toss_winner = winner THEN 1 ELSE 0 END) / COUNT(*) AS pct FROM matches,"{""columns"": [""pct""], ""rows"": [[37.27598566308244]]}",1,FALSE
18,brutal,Which team had the highest win percentage in the 2023 season among teams that played at least 5 matches that season? Give the team and the win percentage.,"SELECT team, 100.0 * SUM(won) / COUNT(*) AS win_pct FROM ( SELECT m.id, t.team, CASE WHEN m.winner = t.team THEN 1 ELSE 0 END AS won FROM matches m JOIN (SELECT id, team1 AS team FROM matches WHERE season='2023' UNION ALL SELECT id, team2 AS team FROM matches WHERE season='2023') t ON m.id = t.id WHERE m.season = '2023') x GROUP BY team HAVING COUNT(*) >= 5 ORDER BY win_pct DESC LIMIT 1","{""columns"": [""team"", ""win_pct""], ""rows"": [[""Gujarat Titans"", 64.70588235294117]]}",1,FALSE
19,brutal,"Among bowler-batter pairs, which bowler dismissed a specific batter the most times (bowler-credited dismissals only)? Give the bowler, the batter, and the count.","SELECT bowler, player_dismissed AS batter, COUNT(*) AS times FROM deliveries WHERE is_wicket = 1 AND player_dismissed IS NOT NULL AND dismissal_kind NOT IN ('run out','retired hurt','retired out','obstructing the field') GROUP BY bowler, player_dismissed ORDER BY times DESC LIMIT 1","{""columns"": [""bowler"", ""batter"", ""times""], ""rows"": [[""DL Chahar"", ""Shubman Gill"", 4]]}",1,FALSE
20,brutal,What is the average first-innings total in matches that were won by the team batting second (a successful chase)? Give a single number.,"SELECT AVG(inn1.runs) AS avg_first_innings FROM ( SELECT match_id, SUM(total_runs) AS runs FROM deliveries WHERE inning = 1 GROUP BY match_id) inn1 JOIN matches m ON inn1.match_id = m.id WHERE m.winner IS NOT NULL AND m.winner = (SELECT DISTINCT batting_team FROM deliveries WHERE match_id = m.id AND inning = 2)","{""columns"": [""avg_first_innings""], ""rows"": [[161.54545454545453]]}",1,FALSE
